step,population,nonrenewableResourceFractionRemaining,serviceOutput,foodPerCapita,industrialOutputPerCapita,indexOfPersistentPollution,lifeExpectancy,crudeBirthRate,crudeDeathRate,arableLand,landYield
1935.0,0.14686104737462585,0.981421513305679,0.31958960754826815,0.1816497963918837,0.03287031406608581,0.009105626491289385,0.4185082586846042,0.7997159973733435,0.5855294782444753,0.3627337322164567,0.36513061524315793
1936.0,0.14845803399859794,0.9805144858076599,0.32194112044165596,0.1858122579725242,0.0338520338217762,0.009396028019869208,0.4196866118240365,0.7991624529174872,0.5840192800007298,0.36487854518872903,0.369631310679278
1937.0,0.1500801992955578,0.9795765848422708,0.32435287028322113,0.19007482828008257,0.03486760554547512,0.009698231142756638,0.42091292263676355,0.7985871573444069,0.5824140306329647,0.36706264441232506,0.37422937813411045
1938.0,0.15172853354078766,0.9786066849265532,0.3268253360778884,0.19443906302778238,0.035918294329081404,0.010012413465848342,0.4221882677212572,0.7979882038269853,0.5807140752548903,0.36928832014167123,0.37892593297776017
1939.0,0.15340404418515222,0.9776036184940807,0.32935895659429715,0.1989065026363224,0.03700541303114202,0.01033878084891502,0.423513762532245,0.7973637027335364,0.5789195732760004,0.371557907209175,0.38372200310485427
1940.0,0.15510775759305365,0.9765661743888301,0.33195412677310776,0.2034786682205098,0.038130323488171254,0.010677567068102413,0.4248905614567763,0.7967117676846825,0.5770305042405496,0.373873791159115,0.38861851977170736
1941.0,0.15684072074548744,0.9754930963106762,0.3346111939534152,0.2081570572615606,0.039294437815040086,0.011029033379790349,0.48462614475305976,0.796030503115134,0.5750466738905804,0.3762384142408623,0.3936163079754496
1942.0,0.15961678499614101,0.9743830812124445,0.33519006348888963,0.2115919966452936,0.04049921978095386,0.01139346802549927,0.48635111004634035,0.823925626655329,0.47608448316648144,0.3786542812995437,0.39871607636422257
1943.0,0.162374158848462,0.9732347776484397,0.3365900109083178,0.2151219529036417,0.04175309656171045,0.011771185709647232,0.4880032425098902,0.8140445886561513,0.47441248563237387,0.3811386067295761,0.4046430813312687
1944.0,0.16513715528390405,0.9720471492792524,0.3380139057522144,0.2187491091765265,0.043053959018357645,0.012162527075123462,0.4897118219537481,0.8073025404510031,0.4726720412526983,0.38369609501088836,0.41051488675226283
1945.0,0.16792323161301115,0.9708189466885022,0.3395086093678789,0.2224537734154096,0.04440150199424601,0.012567858195782293,0.49149417574049015,0.8025311108867116,0.4707037273442411,0.3863272339642995,0.41643111747544814
